prefetch-l3,l1-icache-loads,l1-misses,l3-request,l3-misses
4096,3987596914,69519240,2815652219,2027473522
8192,3965467904,64299163,2778742041,1987982923
1048576,3910984905,61858089,2866243748,2081066159
10485760,4212752962,112200660,2597236881,1804261812
